(15.880008367933332, 15.240025891349653, 0.043194565134705876)
(15.879993097037076, 15.239995099031368, 0.04316064439952361)
(15.879997365288435, 15.240019839499148, 0.04324519443323438)
(15.879984461814164, 15.240017166486943, 0.043160588032858715)
(15.880135517679154, 15.240087043619717, 0.04326382570653875)
(15.879986981973051, 15.240026486581193, 0.04309304877134812)
(15.88043764617294, 15.240392310786994, 0.045446471254333654)
(15.880419716350733, 15.240382801750677, 0.045171240907268206)
(15.879956089071928, 15.239999474035578, 0.04285425090979844)
(15.879957591295241, 15.240024764100092, 0.04285128711920261)
(15.880414603389799, 15.240389381311836, 0.045150995179080056)
(15.880403512269258, 15.240379093922677, 0.045140409035721696)
(15.880379499047994, 15.24037219701335, 0.044975957384910226)
(15.88037435721606, 15.240379589619117, 0.045047104629879486)
(15.88038662739098, 15.240389038352298, 0.04503889979352005)
(15.880385512597858, 15.240395911280068, 0.04496585780110052)
(15.880394513830542, 15.240374379567804, 0.04511605099726279)
(15.880372698530554, 15.24038128369488, 0.04490549471152083)
(15.880380524434148, 15.240381451798605, 0.04518514345334079)
(15.880314980745315, 15.24032947235741, 0.0446915872972109)
(15.880017025507986, 15.240084451399746, 0.04351836877411852)
(15.880301036052405, 15.240325503293427, 0.044714423912497914)
(15.880394280999898, 15.240422968296336, 0.04527631406280852)
(15.88037611555308, 15.240395102193581, 0.04499822079547111)
(15.88038143992424, 15.24039806053974, 0.04504886643797046)
(15.880023011118173, 15.240107431551444, 0.043551080445606516)
